"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7WWDTFRG","journalArticle","2023","Emery, Tom; Karpinska, Kasia; Maineri, Angelica; Meer, Lucas van der","The Open Data Infrastructure for Social Science and Economic Innovations (ODISSEI): Better Infrastructure, Better Science, Better Society","Proceedings of the Conference on Research Data Infrastructure","","2941-296X","10.52825/cordi.v1i.393","https://www.tib-op.org/ojs/index.php/CoRDI/article/view/393","The Open Data Infrastructure for Social Science and Economic Innovations (ODISSEI) equips social scientists in the Netherlands with the data, tools, and skills that are necessary to answer groundbreaking questions for scientific and policy making purposes. With a variety of use cases to pick from, we aim at engaging in a discussion with other Research data infrastructures to identify synergies but also challenges ahead.","2023-09-07","2023-09-11 09:44:47","2024-03-11 08:57:13","2023-09-11 09:44:47","","","","1","","","The Open Data Infrastructure for Social Science and Economic Innovations (ODISSEI)","","","","","","","en","Copyright (c) 2023 Tom Emery, Kasia Karpinska, Angelica Maineri, Lucas van der Meer","","","","www.tib-op.org","","0 citations (Crossref) [2023-09-11]","","C:\Users\angel\Zotero\storage\KRCJ64DH\Emery et al. - 2023 - The Open Data Infrastructure for Social Science an.pdf","","Roadmap","FAIR; Data Infrastructure; Social sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N46F6YAZ","journalArticle","2023","Raiber, Klara; Visser, Mark; Verbakel, Ellen","Strategies of informal caregivers to adapt paid work","European Societies","","1461-6696","10.1080/14616696.2023.2207108","https://doi.org/10.1080/14616696.2023.2207108","Informal caregiving, meaning taking health-related care of an older and/or disabled person in the personal network, often has consequences for paid work. Classically, scholars focus on two strategies of informal caregivers to adapt employment: stopping to work and reducing working hours. Two other plausible, but neglected, strategies may similarly have career consequences, namely changing jobs and becoming self-employed. First, we empirically assess whether experiencing a work-care conflict is a condition for choosing a work adaption strategy. Second, we theoretically and empirically take a life course (age at start of caregiving episode) and gender perspective on strategies to adapt paid work. We use detailed retrospective data on informal caregiving in the Netherlands (N = 3,673 caregiving episodes of 2,112 caregivers). Applying multilevel logistic regression analysis, we find that caregivers who felt that they had difficulties combining work and care, were more likely to choose any strategy. Especially caregivers who started to provide care at a young age (24 years or younger) were likely to reduce working hours or change jobs. When starting care in the early family formation stage (25–34 years), women were more likely to reduce working hours, whereas men were more likely to stop working in early middle age (45–54 years).","2023","2023-10-13 14:43:51","2023-10-13 14:43:59","2023-10-13 14:43:51","1-28","","0","0","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","0 citations (Crossref) [2023-10-13] Publisher: Routledge _eprint: https://doi.org/10.1080/14616696.2023.2207108","","C:\Users\angel\Zotero\storage\25IFZP5Q\Raiber et al. - 2023 - Strategies of informal caregivers to adapt paid wo.pdf","","Core (LISS 2019)","labour force participation; life course; work-family; family care; Gender","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZGBL86G","journalArticle","2023","Mulder, Lianne; Akwiwu, Eddymurphy U.; Twisk, Jos W. R.; Koster, Andries S.; Ravesloot, Jan Hindrik; Croiset, Gerda; Kusurkar, Rashmi A.; Wouters, Anouk","Inequality of opportunity in selection procedures limits diversity in higher education: An intersectional study of Dutch selective higher education programs","PLOS ONE","","1932-6203","10.1371/journal.pone.0292805","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0292805","Selection for higher education (HE) programs may hinder equal opportunities for applicants and thereby reduce student diversity and representativeness. However, variables which could play a role in inequality of opportunity are often studied separately from each other. Therefore, this retrospective cohort study conducts an innovative intersectional analysis of the inequality of opportunity in admissions to selective HE programs. Using a combination of multivariable logistic regression analyses and descriptive statistics, we aimed to investigate 1) the representativeness of student populations of selective HE programs, as compared to both the applicant pool and the demographics of the age cohort; 2) the demographic background variables which are associated with an applicant’s odds of admission; and 3) the intersectional acceptance rates of applicants with all, some or none of the background characteristics positively associated with odds of admission. The study focused on all selective HE programs (n = 96) in The Netherlands in 2019 and 2020, using Studielink applicant data (N = 85,839) and Statistics Netherlands microdata of ten background characteristics. The results show that student diversity in selective HE programs is limited, partly due to the widespread inequality of opportunity in the selection procedures, and partly due to self-selection. Out of all ten variables, migration background was most often (negatively) associated with the odds of receiving an offer of admission. The intersectional analyses provide detailed insight into how (dis)advantage has different effects for different groups. We therefore recommend the implementation of equitable admissions procedures which take intersectionality into account.","2023-10-13","2023-10-17 07:22:28","2023-10-17 07:22:40","2023-10-17 07:22:28","e0292805","","10","18","","PLOS ONE","Inequality of opportunity in selection procedures limits diversity in higher education","","","","","","","en","","","","","PLoS Journals","","0 citations (Crossref) [2023-10-17] Publisher: Public Library of Science","","C:\Users\angel\Zotero\storage\LVU5PJ84\Mulder et al. - 2023 - Inequality of opportunity in selection procedures .pdf","","Roadmap (MAD 2022)","Netherlands; Professions; Schools; Allied health care professionals; Computer software; Health education and awareness; Regression analysis; Social welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MFI3LTE","journalArticle","2023","Mulder, Lianne; Wouters, Anouk; Akwiwu, Eddymurphy U.; Koster, Andries S.; Ravesloot, Jan Hindrik; Peerdeman, Saskia M.; Salih, Mahdi; Croiset, Gerda; Kusurkar, Rashmi A.","Diversity in the pathway from medical student to specialist in the Netherlands: a retrospective cohort study","The Lancet Regional Health - Europe","","2666-7762","10.1016/j.lanepe.2023.100749","https://www.sciencedirect.com/science/article/pii/S2666776223001680","Background Medical specialist workforces are not representative of the society they serve, partially due to loss of diversity in the path from student to specialist. We investigated which demographic characteristics of bachelor students of medicine (BSM) are associated with becoming a physician and (particular type of) medical specialist; and whether this suggests ‘cloning’ (reproduction of sameness) of the existing workforce. Methods We used a retrospective cohort design, based on Statistics Netherlands data of all first-year BSM in 2002–2004 in The Netherlands (N = 4503). We used logistic regression to analyze the impact of sex, migration background, urbanity of residence, parental income and assets categories, and having healthcare professional parents, on being registered as physician or medical specialist in 2021. We compared our results to the national pool of physicians (N = 76,845) and medical specialists (N = 49,956) to identify cloning patterns based on Essed’s cultural cloning theory. Findings Female students had higher odds of becoming a physician (OR 1.87 [1.53–2.28], p < 0.001). Physicians with a migration background other than Turkish, Moroccan, Surinamese, Dutch Caribbean or Indonesian (TMSDI) had lower odds of becoming a specialist (OR 0.55 [0.43–0.71], p < 0.001). This was not significant for TMSDI physicians (OR 0.74 [0.54–1.03], p = 0.073). We found a cloning pattern with regard to sex and migration background. Nationwide, physicians with a Turkish or Moroccan migration background, and female physicians with other migration backgrounds, are least likely to be a medical specialist. Interpretation In light of equity in healthcare systems, we recommend that every recruitment body increases the representativeness of their particular specialist workforce. Funding ODISSEI.","2023-12-01","2023-10-17 07:22:57","2023-10-17 07:23:09","2023-10-17 07:22:57","100749","","","35","","The Lancet Regional Health - Europe","Diversity in the pathway from medical student to specialist in the Netherlands","","","","","","","","","","","","ScienceDirect","","0 citations (Crossref) [2023-10-17]","","C:\Users\angel\Zotero\storage\PKTJAS34\Mulder et al. - 2023 - Diversity in the pathway from medical student to s.pdf; C:\Users\angel\Zotero\storage\G2GAVRRW\S2666776223001680.html","","Roadmap (MAD 2022)","Cohort study; Inequality of opportunity; Medical workforce; Physician diversity; Specialist diversity; Student diversity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKK3PAGT","journalArticle","2023","Zwan, Roos van der; Yerkes, Mara A.; Besamusca, Janna W.; Kruyen, Peter M.; Remery, Chantal L. H. S.","What Role Do Occupational Differences Play in Subjective Working Conditions Throughout the COVID-19 Pandemic?","Sociological Inquiry","","1475-682X","10.1111/soin.12574","https://onlinelibrary.wiley.com/doi/abs/10.1111/soin.12574","Evidence on the role of occupational differences in subjective working conditions during the pandemic is limited. However, an understanding of how such inequalities develop throughout the pandemic is needed to prevent an overall worsening of social inequality in society. We study occupational inequalities in subjective working conditions—work pressure and work-life balance—throughout the pandemic. We use four waves of the representative, probability-based COVID Gender (In)equality Survey Netherlands (COGIS-NL), collected between April 2020 and November 2020 in The Netherlands. The results show that higher work pressure is reported during the pandemic compared to before the pandemic, particularly among managers and professionals and white-collar workers. Occupational differences are also found in the probability of having difficulty combining work and care during the pandemic, with managers and professionals most likely to report having difficulty. These differences are no longer evident after controlling for respondent and job characteristics. This longitudinal evidence on occupational differences in subjective working conditions within the working population contributes to a better understanding of social inequalities arising and developing throughout the pandemic.","2023","2023-10-26 07:30:03","2023-10-26 07:31:58","2023-10-26 07:30:03","","","n/a","n/a","","","","","","","","","","en","","","","","Wiley Online Library","","0 citations (Crossref) [2023-10-26] _eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/soin.12574","","C:\Users\angel\Zotero\storage\VN4JW7B8\Zwan et al. - What Role Do Occupational Differences Play in Subj.pdf; C:\Users\angel\Zotero\storage\43UAUJIM\soin.html","","Core (LISS 2020 Corona)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YC9VVAN2","journalArticle","2023","Vonk, Lisanne; Eekhout, Iris; Huijts, Tim; Levels, Mark; Jansen, Maria W. J.","School health promotion and the consumption of water and sugar-sweetened beverages in secondary schools: a cross-sectional multilevel study","BMC Public Health","","1471-2458","10.1186/s12889-023-16123-7","https://doi.org/10.1186/s12889-023-16123-7","Overweight among adolescents remains a serious concern worldwide and can have major health consequences in later life, such as cardiovascular diseases and cancer. Still, 33% of secondary school adolescents in the Netherlands consume sugar-sweetened beverages daily and over 26% do not consume water every day. The Dutch Healthy School program was developed to support schools in stimulating healthier lifestyles by focusing on health education, school environments, identifying students’ health problems, and school policy. We examined the variation between secondary schools regarding the daily consumption of water and sugar-sweetened beverages and whether this variation can be explained by differences between schools regarding Healthy School certification, general school characteristics, and the school population.","2023-07-05","2023-10-26 12:38:46","2023-10-26 12:39:05","2023-10-26 12:38:46","1296","","1","23","","BMC Public Health","School health promotion and the consumption of water and sugar-sweetened beverages in secondary schools","","","","","","","en","","","","","Springer Link","","0 citations (Crossref) [2023-10-26]","","C:\Users\angel\Zotero\storage\CYG27WUE\Vonk et al. - 2023 - School health promotion and the consumption of wat.pdf","","Roadmap (MAD 2020-Q3)","Multilevel analysis; School health promotion; Secondary school; SSB consumption; Water consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X967NUH4","journalArticle","2022","Lan, Yuliang; Roberts, Hannah; Kwan, Mei-Po; Helbich, Marco","Daily space-time activities, multiple environmental exposures, and anxiety symptoms: A cross-sectional mobile phone-based sensing study","Science of The Total Environment","","0048-9697","10.1016/j.scitotenv.2022.155276","https://www.sciencedirect.com/science/article/pii/S0048969722023695","Background Few mobility-based studies have investigated the associations between multiple environmental exposures, including social exposures, and mental health. Objective To assess how exposure to green space, blue space, noise, air pollution, and crowdedness along people's daily mobility paths are associated with anxiety symptoms. Methods 358 participants were cross-sectionally tracked with Global Positioning System (GPS)-enabled mobile phones. Anxiety symptoms were measured at baseline using the Generalized Anxiety Disorder-7 (GAD-7) questionnaire. Green space, blue space, noise, and air pollution were assessed based on concentric buffers of 50 m and 100 m around each GPS point. Crowdedness was measured by the number of nearby Bluetooth-enabled devices detected along the mobility paths. Multiple linear regressions with full covariate adjustment were fitted to examine anxiety-environmental exposures associations. Random forest models were applied to explore possible nonlinear associations and exposure interactions. Results Regression results showed null linear associations between GAD-7 scores and environmental exposures. Random forest models indicated that GAD-7-environment associations varied nonlinearly with exposure levels. We found a negative association between green space and GAD-7 scores only for participants with moderate green space exposure. We observed a positive association between GAD-7 scores and noise levels above 60 dB and air pollution concentrations above 17.2 μg m−3. Crowdedness was positively associated with GAD-7 scores, but exposure-response functions flattened out with pronounced crowdedness of >7.5. Blue space tended to be positively associated with GAD-7 scores. Random forest models ranked environmental exposures as more important to explain GAD-7 scores than linear models. Conclusions Our findings indicate possible nonlinear associations between mobility-based environmental exposures and anxiety symptoms. More studies are needed to obtain an in-depth understanding of underlying anxiety-environment mechanisms during daily life.","2022-08-15","2023-10-26 14:05:07","2023-10-26 14:05:15","2023-10-26 14:05:07","155276","","","834","","Science of The Total Environment","Daily space-time activities, multiple environmental exposures, and anxiety symptoms","","","","","","","","","","","","ScienceDirect","","7 citations (Crossref) [2023-10-26]","","C:\Users\angel\Zotero\storage\2X3X4PV5\Lan et al. - 2022 - Daily space-time activities, multiple environmenta.pdf; C:\Users\angel\Zotero\storage\GT47K24H\S0048969722023695.html","","Core (MAD 2020)","Mental health; Environmental exposures; Anxiety; Daily mobility; Smartphones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSVFKMB9","journalArticle","2023","André, Stéfanie; Remery, Chantal; Yerkes, Mara A.","Extending theoretical explanations for gendered divisions of care during the COVID-19 pandemic","Journal of Marriage and Family","","1741-3737","10.1111/jomf.12950","https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12950","Objective This article extends pre-pandemic theories, empirically testing the salience of pandemic-based absolute and relative resources and time availability mechanisms for understanding gendered divisions of childcare across the COVID-19 pandemic. Background Multiple cross-sectional studies have examined gender differences in pandemic divisions of childcare, yet few longitudinal studies exist, particularly using pandemic-specific theoretical mechanisms. Method The authors used five waves (six data points, April 2020–November 2021) of probability-based longitudinal data from the Netherlands to estimate fixed-effects regression models (person-wave data; 2165 mothers and 1839 fathers) to analyze the division of childcare. Results Essential occupation was associated with a relative decrease in childcare tasks for mothers but not fathers. Mothers whose partner worked in an essential occupation experienced a relative increase in childcare tasks. Time availability also mattered; primarily for fathers. Working from home was associated with a relative increase in father's involvement in childcare, whereas an increase in work hours was associated with a decrease. Unemployment affected mothers only and was associated with an increase in relative childcare. Conclusion Having an essential occupation potentially functioned as a new resource for some mothers to bargain for more gender-egalitarian divisions of care but also reaffirmed the relative importance of men's paid employment over that of women's in shaping divisions of care. Time availability played a role in divisions of care during the pandemic, but mostly for fathers. Implications The findings extend traditional resources and time availability theories to explain pandemic-based gender differences in the division of care across the pandemic.","2023","2023-11-28 07:54:05","2023-11-28 07:55:55","2023-11-28 07:54:05","","","n/a","n/a","","","","","","","","","","en","","","","","Wiley Online Library","","0 citations (Crossref) [2023-11-28] _eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/jomf.12950","","C:\Users\angel\Zotero\storage\XVJ9D4HG\André et al. - Extending theoretical explanations for gendered di.pdf; C:\Users\angel\Zotero\storage\8Y6PV8Y9\jomf.html","","Core (LISS 2020 Corona)","gender; absolute resources; division of care; essential occupations; parents; relative resources; time availability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NIUW8ALA","conferencePaper","2023","Martorana, Margherita; Kuhn, Tobias; Siebes, Ronald; Van Ossenbruggen, Jacco","Advancing data sharing and reusability for restricted access data on the Web: introducing the DataSet-Variable Ontology","Proceedings of the 12th Knowledge Capture Conference 2023","979-8-4007-0141-2","","10.1145/3587259.3627559","https://dl.acm.org/doi/10.1145/3587259.3627559","In response to the increasing volume of research data being generated, more and more data portals have been designed to facilitate data findability and accessibility. However, a significant portion of this data remains confidential or restricted due to its sensitive nature, such as patient data or census microdata. While maintaining confidentiality prohibits its public release, the emergence of portals supporting rich metadata can help enable researchers to at least discover the existence of restricted access data, empowering them to assess the suitability of the data before requesting access. Existing standards, such as CSV on the Web and RDF Data Cube, have been adopted to facilitate data management, integration, and re-use of data on the Web. However, the current landscape still lacks adequate standards not only to effectively describe restricted access data while preserving confidentiality but also to facilitate its discovery. In this work, we investigate the relationship between the structural, statistical, and semantic elements of restricted access tabular data, and we explore how such relationship can be formally modeled in a way that is Findable, Accessible, Interoperable, and Reusable. We introduce the DataSet-Variable Ontology (DSV), that by combining CSV on the Web and RDF Data Cube standards, leveraging semantic technologies and Linked Data principles, and introducing variable-level metadata, aims to capture high-quality metadata to support the management and re-use of restricted access data on the Web. As evaluation, we conducted a case study where we applied DSV to four different datasets from different statistical governmental agencies. We employed a set of competency questions to assess the ontology’s ability to support knowledge discovery and data exploration. By describing high-quality metadata, both at the dataset- and variable levels, while maintaining data privacy, this novel ontology facilitates data interoperability, discovery, and re-use and it empowers researchers to manage, integrate, and analyze complex restricted access data sources.","2023-12-05","2023-12-08 09:51:42","2024-03-11 08:57:28","2023-12-08","83–91","","","","","","Advancing data sharing and reusability for restricted access data on the Web","K-CAP '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","0 citations (Crossref) [2023-12-08]","","C:\Users\angel\Zotero\storage\9P6AQDFE\Martorana et al. - 2023 - Advancing data sharing and reusability for restric.pdf","","Roadmap (Portal)","FAIR principles; Privacy-preserving web data; Restricted access data; Semantic Web; Variable-level metadata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2CGJ7LW","journalArticle","2023","Nunner, Hendrik; Buskens, Vincent; Corten, Rense; Kaandorp, Casper; Kretzschmar, Mirjam","Disease avoidance threatens social cohesion in a large-scale social networking experiment","Scientific Reports","","2045-2322","10.1038/s41598-023-47556-0","https://www.nature.com/articles/s41598-023-47556-0","People tend to limit social contacts during times of increased health risks, leading to disruption of social networks thus changing the course of epidemics. To what extent, however, do people show such avoidance reactions? To test the predictions and assumptions of an agent-based model on the feedback loop between avoidance behavior, social networks, and disease spread, we conducted a large-scale (2,879 participants) incentivized experiment. The experiment rewards maintaining social relations and structures, and penalizes acquiring infections. We find that disease avoidance dominates networking decisions, despite relatively low penalties for infections; and that participants use more sophisticated strategies than expected (e.g., avoiding susceptible others with infectious neighbors), while they forget to maintain a beneficial network structure. Consequently, we observe low infection numbers, but also deterioration of network positions. These results imply that the focus on a more obvious signal (i.e., infection) may lead to unwanted side effects (i.e., loss of social cohesion).","2023-12-18","2023-12-21 09:15:39","2023-12-21 09:15:53","2023-12-21 09:15:32","22586","","1","13","","Sci Rep","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","0 citations (Crossref) [2023-12-21] Number: 1 Publisher: Nature Publishing Group","","C:\Users\angel\Zotero\storage\B5FIKR2L\Nunner et al. - 2023 - Disease avoidance threatens social cohesion in a l.pdf","","","Epidemiology; Infectious diseases; Human behaviour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9D3UXHM","dataset","2023","Wang, Shuai; K. Singh, Navroop; Hofstra, Tycho; Maineri, Angelica; Bruyneel, Mark; van de Sandt, Stephanie; Siebes, Ronald; van Ossenbruggen, Jacco; Kuhn, Tobias","Aligning Data Management Plans with Community Standards using FAIR Implementation Profiles","","","","10.5281/ZENODO.10286752","https://zenodo.org/doi/10.5281/zenodo.10286752","Data Management Plans (DMPs) are often required by organizations and funding agencies. When writing DMPs, taking into account community standards for publishing and managing research data can be a challenge for researchers. Community standards are often documented informally or communicated by word of mouth. The introduction of FAIR Implementation Profiles (FIPs) offers a structured way to capture such standards. This paper investigates with a user study, whether FIPs can serve as suggestions for aligning research data management with community standards. Through a customized interface with the related information extracted from FIPs as suggestions, we study whether researchers can take such suggestions into account when writing DMPs. Subsequently, a survey was conducted for each participant. The survey results highlight some specific DMP questions where FIPs can be effectively used as suggestions. The findings of the survey affirm the potential of FIPs as a valuable resource to harmonize research data with community standards.","2023-12-07","2024-01-08 08:09:59","2024-01-08 08:10:00","2024-01-08 08:09:59","","","","","","","","","","","","Zenodo","","en","Creative Commons Attribution 4.0 International","","","","DOI.org (Datacite)","","","","C:\Users\angel\Zotero\storage\AHNKDPTX\Wang and K. Singh - 2023 - Aligning Data Management Plans with Community Stan.pdf","","","","","","","Hofstra, Tycho; Maineri, Angelica; Bruyneel, Mark; van de Sandt, Stephanie; Siebes, Ronald; van Ossenbruggen, Jacco; Kuhn, Tobias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2Y76BHAL","journalArticle","2023","Verbakel, Ellen; Glijn, Rosa","Informal care trajectories: developments in care demands, intensity and complexity over the course of care episodes","International Journal of Care and Caring","","2397-8821, 2397-883X","10.1332/23978821Y2023D000000021","https://bristoluniversitypressdigital.com/view/journals/ijcc/aop/article-10.1332-23978821Y2023D000000021/article-10.1332-23978821Y2023D000000021.xml","In response to the dominant narrative that informal care episodes become increasingly heavy over time, this study empirically identifies distinct informal care trajectories in terms of developments in care demands (care receivers’ health), intensity (number of hours) and complexity (number and type of tasks) over the course of a care episode. Latent class analysis on 5,595 informal care episodes among 2,884 Dutch carers identified a ‘stable trajectory’ (41 per cent) and ‘decrease trajectory’ (22 per cent) apart from an ‘increase trajectory’ (37 per cent). The trajectories were related to care receivers’ characteristics (age), carers’ difficulty of saying ‘no’ (relationship and obligation) and changes in the care context (living situation).","2023-12-29","2024-01-08 08:17:02","2024-01-08 08:17:08","2024-01-08 08:16:55","1-29","","aop","-1","","","Informal care trajectories","","","","","","","en","","","","","bristoluniversitypressdigital.com","","0 citations (Crossref) [2024-01-08] Publisher: Policy Press Section: International Journal of Care and Caring","","C:\Users\angel\Zotero\storage\9IFEKTBT\Verbakel and Glijn - 2023 - Informal care trajectories developments in care d.pdf","","Core (LISS 2019)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKISQC2B","preprint","2024","Sivak, Elizaveta; Pankowska, Paulina; Mendrik, Adrienne; Emery, Tom; Garcia-Bernardo, Javier; Hocuk, Seyit; Karpinska, Kasia; Maineri, Angelica; Mulder, Joris; Nissim, Malvina; Stulp, Gert","Combining the Strengths of Dutch Survey and Register Data in a Data Challenge to Predict Fertility (PreFer)","","","","10.48550/arXiv.2402.00705","http://arxiv.org/abs/2402.00705","The social sciences have produced an impressive body of research on determinants of fertility outcomes, or whether and when people have children. However, the strength of these determinants and underlying theories are rarely evaluated on their predictive ability on new data. This prevents us from systematically comparing studies, hindering the evaluation and accumulation of knowledge. In this paper, we present two datasets which can be used to study the predictability of fertility outcomes in the Netherlands. One dataset is based on the LISS panel, a longitudinal survey which includes thousands of variables on a wide range of topics, including individual preferences and values. The other is based on the Dutch register data which lacks attitudinal data but includes detailed information about the life courses of millions of Dutch residents. We provide information about the datasets and the samples, and describe the fertility outcome of interest. We also introduce the fertility prediction data challenge PreFer which is based on these datasets and will start in Spring 2024. We outline the ways in which measuring the predictability of fertility outcomes using these datasets and combining their strengths in the data challenge can advance our understanding of fertility behaviour and computational social science. We further provide details for participants on how to take part in the data challenge.","2024-02-01","2024-02-06 09:48:04","2024-02-06 09:48:12","2024-02-06 09:48:02","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2402.00705 [cs]","","","","Benchmarking","Computer Science - Machine Learning; Computer Science - Databases","","","","","","","","","","","","","","","","","","","arXiv:2402.00705","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKDPFZ23","journalArticle","2024","Stienstra, Kim; Knigge, Antonie; Maas, Ineke","Gene-environment interaction analysis of school quality and educational inequality","npj Science of Learning","","2056-7936","10.1038/s41539-024-00225-x","https://www.nature.com/articles/s41539-024-00225-x","We study to what extent schools increase or decrease environmental and genetic influences on educational performance. Building on behavioral genetics literature on gene-environment interactions and sociological literature on the compensating and amplifying effects of schools on inequality, we investigate whether the role of genes and the shared environment is larger or smaller in higher-quality school environments. We apply twin models to Dutch administrative data on the educational performance of 18,384 same-sex and 11,050 opposite-sex twin pairs, enriched with data on the quality of primary schools. Our results show that school quality does not moderate genetic and shared-environmental influences on educational performance once the moderation by SES is considered. We find a gene-environment interplay for school SES: genetic variance decreases with increasing school SES. This school SES effect partly reflects parental SES influences. Yet, parental SES does not account for all the school SES moderation, suggesting that school-based processes play a role too.","2024-03-01","2024-03-04 11:57:34","2024-03-04 11:57:37","2024-03-04 11:57:31","1-14","","1","9","","npj Sci. Learn.","","","","","","","","en","2024 The Author(s)","","","","www.nature.com","","0 citations (Crossref) [2024-03-04] Publisher: Nature Publishing Group","","C:\Users\angel\Zotero\storage\PL83GBCL\Stienstra et al. - 2024 - Gene-environment interaction analysis of school qu.pdf","","","Sociology; Education; Human behaviour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSWP2PRD","preprint","2024","Martorana, Margherita; Kuhn, Tobias; Stork, Lise; van Ossenbruggen, Jacco","Text classification of column headers with a controlled vocabulary: leveraging LLMs for metadata enrichment","","","","","http://arxiv.org/abs/2403.00884","Traditional dataset retrieval systems index on metadata information rather than on the data values. Thus relying primarily on manual annotations and high-quality metadata, processes known to be labour-intensive and challenging to automate. We propose a method to support metadata enrichment with topic annotations of column headers using three Large Language Models (LLMs): ChatGPT-3.5, GoogleBard and GoogleGemini. We investigate the LLMs ability to classify column headers based on domain-specific topics from a controlled vocabulary. We evaluate our approach by assessing the internal consistency of the LLMs, the inter-machine alignment, and the human-machine agreement for the topic classification task. Additionally, we investigate the impact of contextual information (i.e. dataset description) on the classification outcomes. Our results suggest that ChatGPT and GoogleGemini outperform GoogleBard for internal consistency as well as LLM-human-alignment. Interestingly, we found that context had no impact on the LLMs performances. This work proposes a novel approach that leverages LLMs for text classification using a controlled topic vocabulary, which has the potential to facilitate automated metadata enrichment, thereby enhancing dataset retrieval and the Findability, Accessibility, Interoperability and Reusability (FAIR) of research data on the Web.","2024-03-05","2024-03-11 14:42:19","2024-03-11 14:43:18","2024-03-11 14:42:12","","","","","","","Text classification of column headers with a controlled vocabulary","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2403.00884 [cs]","","","","Roadmap (Portal)","Computer Science - Artificial Intelligence; Computer Science - Information Retrieval; Computer Science - Databases","","","","","","","","","","","","","","","","","","","arXiv:2403.00884","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVRTEM9K","bookSection","2023","Börsch-Supan, Axel; Abramowska-Kmon, Anita; Andersen-Ranberg, Karen; Brugiavini, Agar; Chłoń-Domińczak, Agnieszka; Jusot, Florence; Laferrère, Anne; Litwin, Howard; Smolić, Šime; Weber, Guglielmo","1 Social, health, and economic impacts of the COVID-19 pandemic and the epidemiological control measures","Social, health, and economic impacts of the COVID-19 pandemic and the epidemiological control measures","978-3-11-113590-8","","","https://www.degruyter.com/document/doi/10.1515/9783111135908-001/html","","2023-10-09","2024-03-12 09:50:46","2024-03-12 10:18:01","2024-03-12 09:50:46","1-20","","","","","","","","","","","De Gruyter","","en","","","","","DOI.org (Crossref)","","DOI: 10.1515/9783111135908-001","","C:\Users\angel\Zotero\storage\MTSJJ3FZ\Börsch-Supan et al. - 2023 - 1 Social, health, and economic impacts of the COVI.pdf","","Roadmap","","Börsch-Supan, Axel; Abramowska-Kmon, Anita; Andersen-Ranberg, Karen; Brugiavini, Agar; Chłoń-Domińczak, Agnieszka; Jusot, Florence; Laferrère, Anne; Litwin, Howard; Smolić, Šime; Weber, Guglielmo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
